"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"LEWI","2019-02-05","DSC_LB_PIN",0,2.18
"LEWI","2019-02-05","DSC_XS1",0.172026160908761,2.17
"LEWI","2019-02-05","DSC_XS2",0.46566296826209,1.41
"LEWI","2019-02-05","DSC_LFW",0.528061549511239,1.06
"LEWI","2019-02-05","DSC_XS3",0.60025494592795,0.88
"LEWI","2019-02-05","DSC_LBF",0.651312520975335,0.8
"LEWI","2019-02-05","DSC_LEW",0.736100536891108,0.47
"LEWI","2019-02-05","DSC_XS4",0.831775210395396,0.3
"LEWI","2019-02-05","DSC_XS5",0.93418467144516,0.25
"LEWI","2019-02-05","DSC_XS6",1.09694120205764,0.2
"LEWI","2019-02-05","DSC_XS7",1.3120807904187,0.12
"LEWI","2019-02-05","DSC_XS8",1.36947362160698,0.09
"LEWI","2019-02-05","DSC_XS9",1.47404884629132,0.08
"LEWI","2019-02-05","DSC_XS10",1.58342824301576,0.12
"LEWI","2019-02-05","DSC_XS11",1.69518052135526,0.13
"LEWI","2019-02-05","DSC_XS12",1.78790743634204,0.1
"LEWI","2019-02-05","DSC_XS13",1.88136120968926,0.09
"LEWI","2019-02-05","DSC_XS14",1.98261645310938,0.1
"LEWI","2019-02-05","DSC_XS15",2.06787330366045,0.08
"LEWI","2019-02-05","DSC_XS16",2.14469694855558,0.08
"LEWI","2019-02-05","DSC_XS17",2.2063148009966,0.06
"LEWI","2019-02-05","DSC_XS18",2.26832294876913,0.04
"LEWI","2019-02-05","DSC_XS19",2.36318598539725,0.01
"LEWI","2019-02-05","DSC_XS20",2.42861030254763,0.01
"LEWI","2019-02-05","DSC_XS21",2.48183258925841,0.01
"LEWI","2019-02-05","DSC_XS22",2.5697567979647,0.01
"LEWI","2019-02-05","DSC_THL",2.7134223780749,0
"LEWI","2019-02-05","DSC_XS23",2.80593798945132,0.02
"LEWI","2019-02-05","DSC_XS24",2.93206446042034,0.04
"LEWI","2019-02-05","DSC_XS25",3.0229892492567,0.04
"LEWI","2019-02-05","DSC_XS26",3.10802397073803,0.04
"LEWI","2019-02-05","DSC_XS27",3.20468563231122,0.06
"LEWI","2019-02-05","DSC_XS28",3.33480629133313,0.08
"LEWI","2019-02-05","DSC_XS29",3.4639464488843,0.09
"LEWI","2019-02-05","DSC_XS30",3.59029385993979,0.11
"LEWI","2019-02-05","DSC_XS31",3.73505796479275,0.16
"LEWI","2019-02-05","DSC_XS32",3.85912956525091,0.17
"LEWI","2019-02-05","DSC_XS33",4.02196829938741,0.23
"LEWI","2019-02-05","DSC_XS34",4.18704693093846,0.25
"LEWI","2019-02-05","DSC_XS35",4.31604286389072,0.28
"LEWI","2019-02-05","DSC_XS36",4.44883827562087,0.32
"LEWI","2019-02-05","DSC_XS37",4.54494576452875,0.34
"LEWI","2019-02-05","DSC_XS38",4.62716932936991,0.36
"LEWI","2019-02-05","DSC_REW",4.69070836869377,0.41
"LEWI","2019-02-05","DSC_XS39",4.80152527846754,0.46
"LEWI","2019-02-05","DSC_XS40",4.98451040749558,0.49
"LEWI","2019-02-05","DSC_RB_PIN",5.08551993421215,0.53
"LEWI","2019-02-05","DSC_XS41",5.20388902661773,0.53
"LEWI","2019-02-05","DSC_XS42",5.63095240652742,0.53
"LEWI","2019-02-05","DSC_XS43",6.23147125510693,0.5
"LEWI","2019-02-05","DSC_XS44",6.52429804677169,0.5
"LEWI","2019-02-05","DSC_XS45",6.89346589210236,0.49
"LEWI","2019-02-05","DSC_XS46",7.13834546655722,0.5
"LEWI","2019-02-05","DSC_XS47",7.44686524658342,0.59
"LEWI","2019-02-05","DSC_RBF",7.70307834593763,0.64
"LEWI","2019-02-05","DSC_XS48",8.22501969605378,0.68
"LEWI","2019-02-05","DSC_XS49",8.46547228480572,0.72
"LEWI","2019-02-05","DSC_XS50",8.90305054478713,0.82
"LEWI","2019-02-05","DSC_XS51",9.23786739463908,0.92
"LEWI","2019-02-05","DSC_XS52",9.54545431105402,0.96
"LEWI","2019-02-05","DSC_RFW",9.74652071263528,1.01
