"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"POSE","2023-07-13","DSC_LB_PIN",0,0.6
"POSE","2023-07-13","DSC_XS1",0.451328040236215,0.53
"POSE","2023-07-13","DSC_XS2",0.821416459522842,0.5
"POSE","2023-07-13","DSC_LBF",0.972569791674483,0.46
"POSE","2023-07-13","DSC_LEW",1.13091997932472,0.09
"POSE","2023-07-13","DSC_XS3",1.33130349652519,0.04
"POSE","2023-07-13","DSC_XS4",1.47822731676829,0.02
"POSE","2023-07-13","DSC_XS5",1.57600126899958,0.01
"POSE","2023-07-13","DSC_XS6",1.65744532330251,-0.02
"POSE","2023-07-13","DSC_XS7",1.7703697353484,-0.04
"POSE","2023-07-13","DSC_XS8",1.87744134397093,-0.01
"POSE","2023-07-13","DSC_XS9",1.93248777486399,-0.04
"POSE","2023-07-13","DSC_THL",2.04037888645832,-0.04
"POSE","2023-07-13","DSC_XS10",2.13168524881631,-0.05
"POSE","2023-07-13","DSC_XS11",2.24600022259833,-0.04
"POSE","2023-07-13","DSC_XS12",2.35609931875707,-0.03
"POSE","2023-07-13","DSC_XS13",2.50556181329513,-0.01
"POSE","2023-07-13","DSC_XS14",2.60807668585459,0.01
"POSE","2023-07-13","DSC_XS15",2.77422025082679,0.02
"POSE","2023-07-13","DSC_XS16",2.87602938086876,0.03
"POSE","2023-07-13","DSC_XS17",3.03958105650847,0.06
"POSE","2023-07-13","DSC_REW",3.17241816276461,0.07
"POSE","2023-07-13","DSC_XS29",3.42754795740721,0.12
"POSE","2023-07-13","DSC_XS19",3.81879941858077,0.19
"POSE","2023-07-13","DSC_XS20",4.05081238763337,0.18
"POSE","2023-07-13","DSC_XS21",4.29494691467761,0.23
"POSE","2023-07-13","DSC_XS22",4.85343393885128,0.29
"POSE","2023-07-13","DSC_XS23",5.10832193572817,0.34
"POSE","2023-07-13","DSC_XS24",5.24592117731124,0.38
"POSE","2023-07-13","DSC_XS25",5.35437437982745,0.41
"POSE","2023-07-13","DSC_XS26",5.46430782440137,0.45
"POSE","2023-07-13","DSC_XS27",5.52379887386583,0.49
"POSE","2023-07-13","DSC_XS28",5.59142379009027,0.55
"POSE","2023-07-13","DSC_RBF",5.63259842337281,0.67
"POSE","2023-07-13","DSC_XS18",5.80640207022116,0.62
"POSE","2023-07-13","DSC_RB_PIN",6.19653685535526,1.06
