"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"CUPE","2024-08-21","DSC_LB_PIN",0,3.42
"CUPE","2024-08-21","DSC_XS33",1.34961611935024,3
"CUPE","2024-08-21","DSC_LBF",2.35870851836381,0.58
"CUPE","2024-08-21","DSC_LEW",2.46567320001171,0.33
"CUPE","2024-08-21","DSC_XS32",2.85729089527213,0.17
"CUPE","2024-08-21","DSC_XS31",3.16993342162923,0.13
"CUPE","2024-08-21","DSC_XS30",3.62706924321621,0.12
"CUPE","2024-08-21","DSC_XS29",4.05884829381452,0.07
"CUPE","2024-08-21","DSC_XS28",4.36436935521331,0.08
"CUPE","2024-08-21","DSC_XS27",4.75798345966062,0.04
"CUPE","2024-08-21","DSC_THL",5.00714200047133,0.04
"CUPE","2024-08-21","DSC_XS26",5.30455100679596,0.11
"CUPE","2024-08-21","DSC_XS25",5.4920069855612,0.21
"CUPE","2024-08-21","DSC_XS24",5.76190858507092,0.25
"CUPE","2024-08-21","DSC_XS23",6.11441477898392,0.26
"CUPE","2024-08-21","DSC_XS22",6.36908388685445,0.29
"CUPE","2024-08-21","DSC_XS21",6.61616082591324,0.32
"CUPE","2024-08-21","DSC_XS20",7.02733287821098,0.3
"CUPE","2024-08-21","DSC_XS19",7.39729206274573,0.25
"CUPE","2024-08-21","DSC_XS18",7.6778621368911,0.23
"CUPE","2024-08-21","DSC_XS17",8.06268806332063,0.22
"CUPE","2024-08-21","DSC_REW",8.27060198048153,0.33
"CUPE","2024-08-21","DSC_XS16",8.44316378146699,0.45
"CUPE","2024-08-21","DSC_RBF",8.59673827649022,0.6
"CUPE","2024-08-21","DSC_XS15",8.90352220584124,0.66
"CUPE","2024-08-21","DSC_XS14",9.56006498209348,0.88
"CUPE","2024-08-21","DSC_XS13",9.66066325782997,1.05
"CUPE","2024-08-21","DSC_XS12",10.3943933793146,1.14
"CUPE","2024-08-21","DSC_XS11",10.6773445043075,1.26
"CUPE","2024-08-21","DSC_XS10",10.8582249015742,1.49
"CUPE","2024-08-21","DSC_XS9",11.135572970533,1.6
"CUPE","2024-08-21","DSC_XS8",11.452445917637,1.64
"CUPE","2024-08-21","DSC_XS7",11.8603832828105,1.7
"CUPE","2024-08-21","DSC_XS6",12.0329518322355,1.76
"CUPE","2024-08-21","DSC_XS5",12.3335344031142,1.86
"CUPE","2024-08-21","DSC_XS4",12.5694850495648,1.92
"CUPE","2024-08-21","DSC_XS3",12.9354905165311,2.04
"CUPE","2024-08-21","DSC_XS2",13.5674303665536,1.99
"CUPE","2024-08-21","DSC_XS",13.8927809092595,2.13
