"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"GUIL","2023-10-09","DSC_PIN_LB",0,2.32
"GUIL","2023-10-09","DSC_XS1",0.6708411452505,1.75
"GUIL","2023-10-09","DSC_LBF",1.08929489278753,1.24
"GUIL","2023-10-09","DSC_XS2",1.35616539349594,0.92
"GUIL","2023-10-09","DSC_LEW",1.47922615300332,0.7
"GUIL","2023-10-09","DSC_XS3",1.65110318951088,0.53
"GUIL","2023-10-09","DSC_XS4",1.83722933042367,0.46
"GUIL","2023-10-09","DSC_XS5",1.94728467558341,0.33
"GUIL","2023-10-09","DSC_XS6",2.11828796270786,0.16
"GUIL","2023-10-09","DSC_XS7",2.25131387103909,0.11
"GUIL","2023-10-09","DSC_XS8",2.44988973789638,0.13
"GUIL","2023-10-09","DSC_XS9",2.63432121398891,0.13
"GUIL","2023-10-09","DSC_THL",2.76703128013906,0.13
"GUIL","2023-10-09","DSC_XS10",2.9412125744429,0.11
"GUIL","2023-10-09","DSC_XS11",3.25418902937568,0.07
"GUIL","2023-10-09","DSC_XS12",3.50654353299214,0.05
"GUIL","2023-10-09","DSC_XS13",3.8947825257195,0.06
"GUIL","2023-10-09","DSC_XS14",4.2810078753762,0.1
"GUIL","2023-10-09","DSC_XS15",4.6040177827061,0.14
"GUIL","2023-10-09","DSC_XS16",5.17511213728109,0.16
"GUIL","2023-10-09","DSC_XS17",5.57341052228885,0.17
"GUIL","2023-10-09","DSC_XS18",6.08588913717831,0.21
"GUIL","2023-10-09","DSC_XS19",6.48345780748822,0.23
"GUIL","2023-10-09","DSC_XS20",6.96880783395726,0.33
"GUIL","2023-10-09","DSC_XS21",7.28645072580855,0.36
"GUIL","2023-10-09","DSC_XS22",7.77624706759379,0.33
"GUIL","2023-10-09","DSC_XS23",8.23379512170451,0.43
"GUIL","2023-10-09","DSC_XS24",8.72805274176961,0.54
"GUIL","2023-10-09","DSC_XS25",9.14152308849778,0.59
"GUIL","2023-10-09","DSC_XS26",9.43122391027464,0.65
"GUIL","2023-10-09","DSC_REW",9.66473368271677,0.7
"GUIL","2023-10-09","DSC_XS27",10.1571238742001,0.82
"GUIL","2023-10-09","DSC_XS28",10.5959599134531,0.94
"GUIL","2023-10-09","DSC_XS29",11.158594874222,1.1
"GUIL","2023-10-09","DSC_XS30",11.6329126935338,1.24
"GUIL","2023-10-09","DSC_XS31",12.141092339843,1.42
"GUIL","2023-10-09","DSC_RBF2",14.1247722520574,1.82
"GUIL","2023-10-09","DSC_XS32",14.1276809713221,1.81
"GUIL","2023-10-09","DSC_XS33",15.7604882987852,2.36
"GUIL","2023-10-09","DSC_XS34",16.9581614820905,2.65
"GUIL","2023-10-09","DSC_XS35",18.8526737618698,2.8
"GUIL","2023-10-09","DSC_XS36",20.8563409827034,2.72
"GUIL","2023-10-09","DSC_XS37",22.9438538350513,3.25
"GUIL","2023-10-09","DSC_XS38",25.3477122095279,3.62
"GUIL","2023-10-09","DSC_PIN_RB",39.097236471348,5.05
