"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"LECO","2023-05-04","DSC_XS",-2.91129272988646,1.47
"LECO","2023-05-04","DSC_XS2",-1.90844795632655,1.71
"LECO","2023-05-04","DSC_XS3",-0.965703356538684,1.7
"LECO","2023-05-04","DSC_LB_PIN",0,1.83
"LECO","2023-05-04","DSC_LBF",0.806488726652649,1.65
"LECO","2023-05-04","DSC_XS4",1.49263733288701,1.12
"LECO","2023-05-04","DSC_XS5",1.88695920596233,0.82
"LECO","2023-05-04","DSC_XS6",2.1756305926715,0.81
"LECO","2023-05-04","DSC_LEW",2.2818832308127,0.49
"LECO","2023-05-04","DSC_XS7",2.62432403875166,0.33
"LECO","2023-05-04","DSC_XS8",3.04741615362447,0.16
"LECO","2023-05-04","DSC_XS9",3.49705913376837,0.19
"LECO","2023-05-04","DSC_XS10",3.81944980632829,0.07
"LECO","2023-05-04","DSC_THL",4.0926486067819,0.13
"LECO","2023-05-04","DSC_XS11",4.48830228659589,0.18
"LECO","2023-05-04","DSC_XS12",5.29531444048688,0.27
"LECO","2023-05-04","DSC_XS13",5.80949945661654,0.26
"LECO","2023-05-04","DSC_XS14",6.09543775112418,0.21
"LECO","2023-05-04","DSC_XS15",6.44240884512894,0.24
"LECO","2023-05-04","DSC_XS16",6.65195575792941,0.34
"LECO","2023-05-04","DSC_XS17",7.55673384427849,0.45
"LECO","2023-05-04","DSC_XS18",7.76444180242354,0.43
"LECO","2023-05-04","DSC_XS19",8.14263801688482,0.44
"LECO","2023-05-04","DSC_REW",8.269052536845,0.43
"LECO","2023-05-04","DSC_XS20",9.29043822947202,1
"LECO","2023-05-04","DSC_XS21",9.71341879123376,1.2
"LECO","2023-05-04","DSC_XS22",10.1609582986784,1.46
"LECO","2023-05-04","DSC_RBF",11.5618870173418,2.43
"LECO","2023-05-04","DSC_RB_PIN",12.0066330252731,2.59
"LECO","2023-05-04","DSC_XS23",12.556223472897,2.62
"LECO","2023-05-04","DSC_XS24",13.1310236180126,2.7
"LECO","2023-05-04","DSC_XS25",13.6957336771351,2.88
"LECO","2023-05-04","DSC_XS26",14.3398122790319,3.1
"LECO","2023-05-04","DSC_RFH",19.4061650005021,4.79
