"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"ARIK","2022-03-03","DSC_LFH",-1.69662164312336,0.68
"ARIK","2022-03-03","DSC_XS20",-0.751037167644266,0.51
"ARIK","2022-03-03","DSC_XS19",-0.349674725072764,0.47
"ARIK","2022-03-03","DSC_LB_PIN",0,0.59
"ARIK","2022-03-03","DSC_LBF",0.0589002165790657,0.42
"ARIK","2022-03-03","DSC_XS18",0.314024272949935,0.36
"ARIK","2022-03-03","DSC_LEW",0.650670413836213,0.24
"ARIK","2022-03-03","DSC_XS17",0.887115959742636,0.16
"ARIK","2022-03-03","DSC_XS16",1.07452559220251,0.14
"ARIK","2022-03-03","DSC_XS15",1.35592827458061,0.11
"ARIK","2022-03-03","DSC_XS14",1.63403489883094,0.05
"ARIK","2022-03-03","DSC_THL",1.8633303229601,0.03
"ARIK","2022-03-03","DSC_XS13",2.0055243562939,0.01
"ARIK","2022-03-03","DSC_XS12",2.28712194815498,0
"ARIK","2022-03-03","DSC_XS11",2.5028170098969,0.02
"ARIK","2022-03-03","DSC_XS10",2.70167859672434,0.03
"ARIK","2022-03-03","DSC_XS9",2.91191402458537,0.06
"ARIK","2022-03-03","DSC_XS8",3.17996015163639,0.09
"ARIK","2022-03-03","DSC_XS7",3.39085562957545,0.15
"ARIK","2022-03-03","DSC_REW",3.52340182429652,0.26
"ARIK","2022-03-03","DSC_RBF",3.65813474713626,0.45
"ARIK","2022-03-03","DSC_XS6",3.87965892721385,0.49
"ARIK","2022-03-03","DSC_XS5",4.0174207089399,0.54
"ARIK","2022-03-03","DSC_XS4",4.17078153042364,0.6
"ARIK","2022-03-03","DSC_RB_PIN",4.2540116844535,0.76
"ARIK","2022-03-03","DSC_XS3",4.26027595557965,0.65
"ARIK","2022-03-03","DSC_XS2",4.48478353707765,0.7
"ARIK","2022-03-03","DSC_XS1",4.77071513483878,0.76
"ARIK","2022-03-03","DSC_RFH",4.96337062416683,0.79
