"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"BLUE","2023-08-24","DSC_LFPLN_1",0,3.29
"BLUE","2023-08-24","DSC_LFPLN_2",1.26530048750799,3.2
"BLUE","2023-08-24","DSC_LFPLN_3",3.82044742117046,3.2
"BLUE","2023-08-24","DSC_LBF",5.49569218344342,3.09
"BLUE","2023-08-24","DSC_LEW",6.07300493410503,0.42
"BLUE","2023-08-24","DSC_XS_1",7.44405843133071,0.1
"BLUE","2023-08-24","DSC_XS_2",8.69169106040552,0.07
"BLUE","2023-08-24","DSC_XS_3",9.94421424651365,0.24
"BLUE","2023-08-24","DSC_XS_4B",10.8980691827884,0.28
"BLUE","2023-08-24","DSC_XS_4",10.8984746421426,0.28
"BLUE","2023-08-24","DSC_XS_5",11.6016561323363,0.33
"BLUE","2023-08-24","DSC_XS_6",12.4746286309992,0.29
"BLUE","2023-08-24","DSC_XS_7",13.3082469295243,0.24
"BLUE","2023-08-24","DSC_XS_8",14.2304837852647,0.21
"BLUE","2023-08-24","DSC_XS_9",15.2573087790219,0.07
"BLUE","2023-08-24","DSC_XS_10",15.8266822379691,0.01
"BLUE","2023-08-24","DSC_XS_11",16.2525886750157,0.06
"BLUE","2023-08-24","DSC_XS_12B",16.7238750529949,0
"BLUE","2023-08-24","DSC_XS_12",16.7309136663695,0
"BLUE","2023-08-24","DSC_XS_THL",16.9169257368885,0.02
"BLUE","2023-08-24","DSC_XS_13",17.5826673248867,0.12
"BLUE","2023-08-24","DSC_XS_14",18.3194081795732,0.15
"BLUE","2023-08-24","DSC_XS_15",19.0231181656053,0.18
"BLUE","2023-08-24","DSC_XS_16",19.7384166260981,0.27
"BLUE","2023-08-24","DSC_XS_17",19.7458294074534,0.27
"BLUE","2023-08-24","DSC_XS_18",20.3527078250798,0.32
"BLUE","2023-08-24","DSC_XS_20",21.0667879605614,0.39
"BLUE","2023-08-24","DSC_XS_19",21.068389960179,0.4
"BLUE","2023-08-24","DSC_XS_21",21.8846234464257,0.5
"BLUE","2023-08-24","DSC_XS_22",22.8180138562361,0.63
"BLUE","2023-08-24","DSC_XS_23",23.2227325317022,0.6
"BLUE","2023-08-24","DSC_XS_24",23.970992203269,0.67
"BLUE","2023-08-24","DSC_XS_25",24.692256722399,0.62
"BLUE","2023-08-24","DSC_XS_26",25.5346811355033,0.87
"BLUE","2023-08-24","DSC_REW",26.1213440123869,0.83
"BLUE","2023-08-24","DSC_RBF",26.7655407997018,1.42
"BLUE","2023-08-24","DSC_RFPLN_1",27.8622784734554,1.4
"BLUE","2023-08-24","DSC_RFPLN_2",28.7444386192676,1.29
"BLUE","2023-08-24","DSC_RFPLN_3",29.5375355232335,1.34
"BLUE","2023-08-24","DSC_RFPLN_4",30.3198565256975,1.36
"BLUE","2023-08-24","DSC_RFPLN_5",31.7244223050889,0.99
"BLUE","2023-08-24","DSC_RFPLN_6",32.7913996509043,1.06
"BLUE","2023-08-24","DSC_RFPLN_7",34.8096112872386,1.35
"BLUE","2023-08-24","DSC_RFPLN_8",36.4369910281192,1.42
"BLUE","2023-08-24","DSC_RFPLN_9",37.3110708056376,1.27
"BLUE","2023-08-24","DSC_RFPLN_10",38.2426914181064,1.43
"BLUE","2023-08-24","DSC_RFPLN_11",39.3671120746462,1.92
"BLUE","2023-08-24","DSC_RFPLN_11B",39.3703266033174,1.93
"BLUE","2023-08-24","DSC_RFPLN_12",40.3800159312136,2.16
