"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"BLDE","2023-11-08","DSC_XS4",-0.961249707389097,1.19
"BLDE","2023-11-08","DSC_XS5",-0.337299388826778,1.18
"BLDE","2023-11-08","DSC_PIN_LB",0,1.15
"BLDE","2023-11-08","DSC_XS6",0.324537988823803,1.1
"BLDE","2023-11-08","DSC_XS7",0.785802953496851,0.96
"BLDE","2023-11-08","DSC_XS8",1.15353846141525,0.88
"BLDE","2023-11-08","DSC_LBF",1.37952794131583,0.73
"BLDE","2023-11-08","DSC_XS9",1.58270705302752,0.65
"BLDE","2023-11-08","DSC_XS10",1.96703067538172,0.59
"BLDE","2023-11-08","DSC_XS11",2.34093441834241,0.5
"BLDE","2023-11-08","DSC_LEW",2.82705756605587,0.38
"BLDE","2023-11-08","DSC_XS12",3.04110684824561,0.34
"BLDE","2023-11-08","DSC_XS13",3.18772076751755,0.26
"BLDE","2023-11-08","DSC_XS14",3.60357055194608,0.25
"BLDE","2023-11-08","DSC_XS15",3.90347032551203,0.2
"BLDE","2023-11-08","DSC_XS16",4.10400527145633,0.13
"BLDE","2023-11-08","DSC_THL",4.42938448558377,0.08
"BLDE","2023-11-08","DSC_XS17",4.80075037911806,0.1
"BLDE","2023-11-08","DSC_XS18",5.18515810509209,0.11
"BLDE","2023-11-08","DSC_XS19",5.47515713171427,0.13
"BLDE","2023-11-08","DSC_XS20",5.72912681431792,0.17
"BLDE","2023-11-08","DSC_XS21",6.04593589029772,0.19
"BLDE","2023-11-08","DSC_XS22",6.38937053867732,0.22
"BLDE","2023-11-08","DSC_XS23",6.67919870850037,0.23
"BLDE","2023-11-08","DSC_XS24",6.91262113237656,0.18
"BLDE","2023-11-08","DSC_XS25",7.1716770106578,0.23
"BLDE","2023-11-08","DSC_XS26",7.46422214861131,0.32
"BLDE","2023-11-08","DSC_XS27",7.60922484166962,0.34
"BLDE","2023-11-08","DSC_REW",7.73353229110489,0.17
"BLDE","2023-11-08","DSC_XS28",7.77346837619912,0.42
"BLDE","2023-11-08","DSC_XS29",7.82220120897249,0.48
"BLDE","2023-11-08","DSC_XS30",7.84990804826645,0.49
"BLDE","2023-11-08","DSC_RBF",7.85277831591115,0.58
"BLDE","2023-11-08","DSC_XS31",7.98855755288612,1.17
"BLDE","2023-11-08","DSC_XS32",8.47984821606678,1.23
"BLDE","2023-11-08","DSC_PIN_RB",8.96172993582284,1.28
"BLDE","2023-11-08","DSC_XS33",9.62856662700307,1.32
