"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"COMO","2022-08-31","DSC_LFH",-1.87817997056928,1.13
"COMO","2022-08-31","DSC_XS",-1.57668370211821,1.03
"COMO","2022-08-31","DSC_XS2",-1.22275034048989,0.98
"COMO","2022-08-31","DSC_XS3",-1.01707254403981,0.93
"COMO","2022-08-31","DSC_XS4",-0.811416172874846,0.87
"COMO","2022-08-31","DSC_XS5",-0.512263062076487,0.76
"COMO","2022-08-31","DSC_XS6",-0.406834327789388,0.73
"COMO","2022-08-31","DSC_XS7",-0.285852742877774,0.71
"COMO","2022-08-31","DSC_LB_PIN",0,0.67
"COMO","2022-08-31","DSC_LBF",0.151285229691774,0.58
"COMO","2022-08-31","DSC_XS8",0.362712709196615,0.41
"COMO","2022-08-31","DSC_XS9",0.523060126198038,0.35
"COMO","2022-08-31","DSC_LEW",0.836688902513488,0.14
"COMO","2022-08-31","DSC_XS10",0.976534725836163,0.15
"COMO","2022-08-31","DSC_XS11",1.08086041493515,0.08
"COMO","2022-08-31","DSC_XS12",1.27585569794088,0
"COMO","2022-08-31","DSC_THL",1.39162262263965,0.02
"COMO","2022-08-31","DSC_XS13",1.58467001149027,0.05
"COMO","2022-08-31","DSC_XS14",1.75010516133934,0.1
"COMO","2022-08-31","DSC_XS15",1.92098467476582,0.08
"COMO","2022-08-31","DSC_XS16",2.08950071189591,0.11
"COMO","2022-08-31","DSC_XS17",2.32807489550689,0.11
"COMO","2022-08-31","DSC_XS18",2.52308223453274,0.29
"COMO","2022-08-31","DSC_REW",2.74026933613161,0.17
"COMO","2022-08-31","DSC_XS19",2.77237365260122,0.23
"COMO","2022-08-31","DSC_XS20",3.36548525571276,0.28
"COMO","2022-08-31","DSC_XS21",3.5496816712066,0.35
"COMO","2022-08-31","DSC_XS22",3.84418894478421,0.42
"COMO","2022-08-31","DSC_XS23",4.14052902695022,0.45
"COMO","2022-08-31","DSC_XS24",4.41029591779862,0.58
"COMO","2022-08-31","DSC_XS25",4.50260524779864,0.61
"COMO","2022-08-31","DSC_RBF",4.62938708628282,0.62
"COMO","2022-08-31","DSC_XS26",4.99465357884856,0.54
"COMO","2022-08-31","DSC_XS27",5.29239057828398,0.48
"COMO","2022-08-31","DSC_XS28",5.85245422121573,0.61
"COMO","2022-08-31","DSC_XS29",6.41443584089612,0.78
"COMO","2022-08-31","DSC_XS30",6.87649860684243,0.76
"COMO","2022-08-31","DSC_XS31",7.19454315977568,0.81
"COMO","2022-08-31","DSC_XS32",7.40137093419696,0.84
"COMO","2022-08-31","DSC_RFH",7.63139120827579,0.88
