"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"MART","2024-09-18","DSC_LB_PIN",0,2.34
"MART","2024-09-18","DSC_XS",0.722411215686052,2.17
"MART","2024-09-18","DSC_XS2",1.80792700739881,2.14
"MART","2024-09-18","DSC_XS3",2.74141025662213,2.06
"MART","2024-09-18","DSC_XS4",3.27653480632039,1.97
"MART","2024-09-18","DSC_XS5",4.22849131563493,0.86
"MART","2024-09-18","DSC_XS6",4.81295077591502,0.74
"MART","2024-09-18","DSC_XS7",5.40910963765258,0.56
"MART","2024-09-18","DSC_XS8",5.85265853344375,0.48
"MART","2024-09-18","DSC_XS9",6.44991726510689,0.56
"MART","2024-09-18","DSC_XS10",6.97857119078813,0.76
"MART","2024-09-18","DSC_XS11",7.68481263647963,0.75
"MART","2024-09-18","DSC_XS12",8.35725973718928,0.61
"MART","2024-09-18","DSC_LBF",8.35766862767297,0.61
"MART","2024-09-18","DSC_XS13",9.01483805470121,0.51
"MART","2024-09-18","DSC_XS14",9.58045469910093,0.41
"MART","2024-09-18","DSC_XS15",10.3116915843643,0.34
"MART","2024-09-18","DSC_XS16",11.6740897254111,0.36
"MART","2024-09-18","DSC_LEW",12.6099311058377,0.26
"MART","2024-09-18","DSC_XS17",13.2370148478035,0.22
"MART","2024-09-18","DSC_XS18",13.750611752683,0.13
"MART","2024-09-18","DSC_XS19",14.0990445916175,0.11
"MART","2024-09-18","DSC_XS20",14.6554832653445,0.16
"MART","2024-09-18","DSC_XS21",15.161118209907,0.14
"MART","2024-09-18","DSC_REW",15.4950762214442,0.26
"MART","2024-09-18","DSC_XS22",15.9893512676892,0.38
"MART","2024-09-18","DSC_XS23",16.3909464723287,0.48
"MART","2024-09-18","DSC_RBF",16.7359584818301,0.65
"MART","2024-09-18","DSC_XS24",17.2151290197238,0.73
"MART","2024-09-18","DSC_XS25",17.4949773970497,0.76
"MART","2024-09-18","DSC_XS26",18.206297330694,0.99
"MART","2024-09-18","DSC_XS27",18.700638068139,1.25
"MART","2024-09-18","DSC_XS28",19.237857623274,1.44
"MART","2024-09-18","DSC_XS29",19.7596238802664,1.32
"MART","2024-09-18","DSC_XS30",20.5231162121203,1.28
"MART","2024-09-18","DSC_RB_PIN",21.5918559379752,1.32
