siteID,surveyEndDate,surveyPointID,distanceAdj,gaugeHeight
MCRA,8/31/2022,DSC_LBF,-0.686761014,1.31
MCRA,8/31/2022,DSC_LB_PIN,0,0.8
MCRA,8/31/2022,DSC_XS_1,0.166276523,0.79
MCRA,8/31/2022,DSC_XS_2,0.480777011,0.71
MCRA,8/31/2022,DSC_XS_3,0.807514142,0.66
MCRA,8/31/2022,DSC_XS_4,1.168523859,0.6
MCRA,8/31/2022,DSC_XS_5,1.345627,0.56
MCRA,8/31/2022,DSC_LEW,2.107041823,0.33
MCRA,8/31/2022,DSC_XS_6,2.119418139,0.33
MCRA,8/31/2022,DSC_XS_7,2.491928378,0.3
MCRA,8/31/2022,DSC_XS_8,2.765728582,0.26
MCRA,8/31/2022,DSC_XS_9,3.107468373,0.28
MCRA,8/31/2022,DSC_XS_10,3.465537218,0.27
MCRA,8/31/2022,DSC_XS_11,3.75638715,0.29
MCRA,8/31/2022,DSC_XS_12,4.027685151,0.22
MCRA,8/31/2022,DSC_XS_13,4.422284787,0.21
MCRA,8/31/2022,DSC_XS_14,4.744439009,0.22
MCRA,8/31/2022,DSC_XS_15,5.066422634,0.2
MCRA,8/31/2022,DSC_XS_16,5.503978729,0.23
MCRA,8/31/2022,DSC_XS_17,5.940106497,0.3
MCRA,8/31/2022,DSC_REW,6.087721774,0.35
MCRA,8/31/2022,DSC_XS_18,6.088233841,0.35
MCRA,8/31/2022,DSC_XS_19,6.360361284,0.43
MCRA,8/31/2022,DSC_XS_20,6.566091184,0.52
MCRA,8/31/2022,DSC_XS_21,6.78351854,0.76
MCRA,8/31/2022,DSC_RBF,6.819305512,0.76
MCRA,8/31/2022,DSC_XS_22,7.037493203,0.75
