"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"TECR","2021-11-23","DSC_XS",-9.60514622506947,3.41
"TECR","2021-11-23","DSC_XS2",-8.65125681816211,3.07
"TECR","2021-11-23","DSC_XS3",-7.62374419595963,2.67
"TECR","2021-11-23","DSC_XS4",-6.52080691156929,2.16
"TECR","2021-11-23","DSC_XS5",-5.64675134828797,1.59
"TECR","2021-11-23","DSC_XS6",-4.79498281804944,1.3
"TECR","2021-11-23","DSC_LFH",-4.33664691298369,1.03
"TECR","2021-11-23","DSC_XS7",-3.83883674645271,0.77
"TECR","2021-11-23","DSC_XS8",-3.33992851105206,0.6
"TECR","2021-11-23","DSC_XS9",-3.04209015318823,0.56
"TECR","2021-11-23","DSC_LBF",-2.80117084274134,0.52
"TECR","2021-11-23","DSC_XS10",-2.55478268823726,0.47
"TECR","2021-11-23","DSC_XS11",-2.32034032484899,0.39
"TECR","2021-11-23","DSC_XS12",-2.08487322467164,0.31
"TECR","2021-11-23","DSC_LEW",-1.98099132097913,0.17
"TECR","2021-11-23","DSC_XS13",-1.7177197752732,0.08
"TECR","2021-11-23","DSC_XS14",-1.49553014278084,0.06
"TECR","2021-11-23","DSC_XS15",-1.22017603995933,0.02
"TECR","2021-11-23","DSC_XS16",-1.02842161706614,0.04
"TECR","2021-11-23","DSC_XS17",-0.854936856140789,-0.01
"TECR","2021-11-23","DSC_THL",-0.641068469824724,-0.04
"TECR","2021-11-23","DSC_XS18",-0.434506443578247,0.05
"TECR","2021-11-23","DSC_REW",-0.199410740729205,0.15
"TECR","2021-11-23","DSC_XS19",-0.0886271134744359,0.31
"TECR","2021-11-23","DSC_TEMP_PIN",0,0.39
"TECR","2021-11-23","DSC_XS20",0.160272199397667,0.39
"TECR","2021-11-23","DSC_XS21",0.438270325230883,0.43
"TECR","2021-11-23","DSC_RBF",0.694495953228266,0.48
"TECR","2021-11-23","DSC_XS22",1.00972730222822,0.71
"TECR","2021-11-23","DSC_XS23",1.19804890425203,0.88
"TECR","2021-11-23","DSC_RFH",1.41685223278245,1.13
"TECR","2021-11-23","DSC_XS24",1.71768085149207,1.26
"TECR","2021-11-23","DSC_XS25",2.41303500196413,1.39
"TECR","2021-11-23","DSC_XS26",2.99896627856224,1.49
"TECR","2021-11-23","DSC_XS27",3.646711305265,1.59
"TECR","2021-11-23","DSC_XS28",4.99392059455088,1.72
"TECR","2021-11-23","DSC_XS29",6.54038801828359,1.85
"TECR","2021-11-23","DSC_XS30",7.70848453237616,2.05
"TECR","2021-11-23","DSC_RB_PIN",8.16461151109107,2.22
"TECR","2021-11-23","DSC_XS31",9.09000846818012,2.51
"TECR","2021-11-23","DSC_XS32",9.85916123779607,2.76
