"siteID","surveyEndDate","surveyPointID","distanceAdj","gaugeHeight"
"CARI","2024-07-15","DSC_XS1",-1.38495893814799,1.22
"CARI","2024-07-15","DSC_XS2",-1.00286454299805,1.08
"CARI","2024-07-15","DSC_XS3",-0.731063642920228,0.94
"CARI","2024-07-15","DSC_XS4",-0.506346026391051,0.8
"CARI","2024-07-15","DSC_XS5",-0.340098317159236,0.79
"CARI","2024-07-15","DSC_XS6",-0.0939910263260091,0.76
"CARI","2024-07-15","DSC_LB_PIN",0,1
"CARI","2024-07-15","DSC_XS7",0.0607417674978941,0.69
"CARI","2024-07-15","DSC_XS8",0.255467016982264,0.62
"CARI","2024-07-15","DSC_XS9",0.401398685454297,0.53
"CARI","2024-07-15","DSC_LBF",0.502459818514402,0.46
"CARI","2024-07-15","DSC_XS10",0.559961804852096,0.41
"CARI","2024-07-15","DSC_XS11",0.596255712058799,-0.02
"CARI","2024-07-15","DSC_XS12",0.816300642771991,-0.01
"CARI","2024-07-15","DSC_XS13",1.21932318464939,-0.02
"CARI","2024-07-15","DSC_XS14",1.71392593564984,-0.06
"CARI","2024-07-15","DSC_XS15",2.00501386684514,-0.03
"CARI","2024-07-15","DSC_XS16",2.31162088825912,-0.07
"CARI","2024-07-15","DSC_XS17",2.6194455333385,-0.03
"CARI","2024-07-15","DSC_XS18",2.83737171397638,-0.01
"CARI","2024-07-15","DSC_XS19",3.07884205854183,0.03
"CARI","2024-07-15","DSC_XS20",3.30096113357805,0.01
"CARI","2024-07-15","DSC_XS21",3.46796163115953,0.03
"CARI","2024-07-15","DSC_XS22",3.49573315456438,0.44
"CARI","2024-07-15","DSC_RBF",3.58883587411367,0.48
"CARI","2024-07-15","DSC_XS23",3.63955385492807,0.5
"CARI","2024-07-15","DSC_XS24",3.82781688253191,0.68
"CARI","2024-07-15","DSC_XS25",4.00949774325979,0.79
"CARI","2024-07-15","DSC_XS26",4.16239518036914,0.82
"CARI","2024-07-15","DSC_XS27",4.63306673848335,1.02
"CARI","2024-07-15","DSC_XS28",5.03185106935356,1.07
"CARI","2024-07-15","DSC_XS29",5.26013774245554,1.12
"CARI","2024-07-15","DSC_RFLP",11.1120565279969,1.13
